datetime,adj_close,close,high,low,open,volume,ticker,ingestion_ts_utc
2026-03-06 14:30:00+00:00,256.70001220703125,256.70001220703125,258.760009765625,254.3699951171875,258.739990234375,8565069,AAPL,2026-03-09 12:45:34.430593+00:00
2026-03-06 15:30:00+00:00,257.25,257.25,257.95001220703125,256.0799865722656,256.69500732421875,3270567,AAPL,2026-03-09 12:45:34.430593+00:00
2026-03-06 16:30:00+00:00,256.7699890136719,256.7699890136719,257.489990234375,256.3900146484375,257.29998779296875,3297640,AAPL,2026-03-09 12:45:34.430593+00:00
2026-03-06 17:30:00+00:00,256.4750061035156,256.4750061035156,257.5899963378906,256.05999755859375,256.7699890136719,2387760,AAPL,2026-03-09 12:45:34.430593+00:00
2026-03-06 18:30:00+00:00,257.17999267578125,257.17999267578125,257.2300109863281,255.91000366210938,256.4750061035156,2090262,AAPL,2026-03-09 12:45:34.430593+00:00
2026-03-06 19:30:00+00:00,256.9100036621094,256.9100036621094,257.96990966796875,256.8005065917969,257.1700134277344,2795477,AAPL,2026-03-09 12:45:34.430593+00:00
2026-03-06 20:30:00+00:00,257.44000244140625,257.44000244140625,258.010009765625,256.44000244140625,256.9200134277344,5129423,AAPL,2026-03-09 12:45:34.430593+00:00
2026-03-06 14:30:00+00:00,215.13360595703125,215.13360595703125,217.32000732421875,214.1999969482422,214.99000549316406,11492331,AMZN,2026-03-09 12:45:34.430593+00:00
2026-03-06 15:30:00+00:00,215.0500030517578,215.0500030517578,216.54989624023438,214.42999267578125,215.14999389648438,5471550,AMZN,2026-03-09 12:45:34.430593+00:00
2026-03-06 16:30:00+00:00,215.4199981689453,215.4199981689453,216.5,214.77999877929688,215.0,3828084,AMZN,2026-03-09 12:45:34.430593+00:00
2026-03-06 17:30:00+00:00,214.78939819335938,214.78939819335938,215.6199951171875,214.27000427246094,215.42999267578125,4011756,AMZN,2026-03-09 12:45:34.430593+00:00
2026-03-06 18:30:00+00:00,214.60000610351562,214.60000610351562,215.4199981689453,214.39999389648438,214.75999450683594,3420579,AMZN,2026-03-09 12:45:34.430593+00:00
2026-03-06 19:30:00+00:00,213.5399932861328,213.5399932861328,214.79249572753906,213.19000244140625,214.60000610351562,5728055,AMZN,2026-03-09 12:45:34.430593+00:00
2026-03-06 20:30:00+00:00,213.10499572753906,213.10499572753906,213.99000549316406,212.53500366210938,213.5399932861328,8365940,AMZN,2026-03-09 12:45:34.430593+00:00
2026-03-06 14:30:00+00:00,299.8301086425781,299.8301086425781,300.2349853515625,295.17999267578125,296.1099853515625,6247806,GOOGL,2026-03-09 12:45:34.430593+00:00
2026-03-06 15:30:00+00:00,299.6499938964844,299.6499938964844,300.5299987792969,298.94000244140625,299.8599853515625,2851458,GOOGL,2026-03-09 12:45:34.430593+00:00
2026-03-06 16:30:00+00:00,299.2099914550781,299.2099914550781,300.1700134277344,298.7699890136719,299.6199951171875,1971767,GOOGL,2026-03-09 12:45:34.430593+00:00
2026-03-06 17:30:00+00:00,299.2900085449219,299.2900085449219,300.0400085449219,298.3800048828125,299.20001220703125,1771359,GOOGL,2026-03-09 12:45:34.430593+00:00
2026-03-06 18:30:00+00:00,299.2099914550781,299.2099914550781,299.79998779296875,298.760009765625,299.29998779296875,1454009,GOOGL,2026-03-09 12:45:34.430593+00:00
2026-03-06 19:30:00+00:00,298.3299865722656,298.3299865722656,299.7300109863281,297.9599914550781,299.20001220703125,3090973,GOOGL,2026-03-09 12:45:34.430593+00:00
2026-03-06 20:30:00+00:00,298.4800109863281,298.4800109863281,298.8800048828125,297.6099853515625,298.30999755859375,3655663,GOOGL,2026-03-09 12:45:34.430593+00:00
2026-03-06 14:30:00+00:00,644.2000122070312,644.2000122070312,648.3800048828125,636.1799926757812,647.9000244140625,3287887,META,2026-03-09 12:45:34.430593+00:00
2026-03-06 15:30:00+00:00,647.5399780273438,647.5399780273438,649.456787109375,644.1848754882812,644.2650756835938,1295271,META,2026-03-09 12:45:34.430593+00:00
2026-03-06 16:30:00+00:00,645.8499755859375,645.8499755859375,648.9771118164062,645.1199951171875,647.5599975585938,738080,META,2026-03-09 12:45:34.430593+00:00
2026-03-06 17:30:00+00:00,645.4299926757812,645.4299926757812,647.5449829101562,643.760009765625,645.8499755859375,985089,META,2026-03-09 12:45:34.430593+00:00
2026-03-06 18:30:00+00:00,645.6199951171875,645.6199951171875,646.510009765625,644.4481811523438,645.4600219726562,545269,META,2026-03-09 12:45:34.430593+00:00
